Year,State,Overall Homeless,Unsheltered Homeless,Overall Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Overall Homeless Unaccompanied Youth (Under 25),Sheltered Total Homeless Unaccompanied Youth (Under 25),Unsheltered Homeless Unaccompanied Youth (Under 25)
2018,NH,"1,450",154,835,142,615,603,12,85,56,20,13,7,143,136,7,81,60,21
2019,UT,"2,798",408,"1,921",405,877,874,3,345,148,19,19,0,211,184,27,163,130,33
2020,WI,"4,515",324,"2,677",304,"1,838","1,818",20,404,80,127,127,0,337,320,17,193,169,24
2019,AL,"3,261","1,191","2,519","1,090",742,641,101,221,129,19,9,10,292,223,69,320,102,218
2020,NC,"9,280","2,558","6,756","2,344","2,524","2,310",214,652,522,98,98,0,798,669,129,485,325,160
2020,MP,"1,207","1,205",323,321,884,0,884,0,0,0,0,0,9,0,9,0,0,0
2019,LA,"2,941",974,"2,416",955,525,506,19,174,257,15,15,0,360,317,43,188,147,41
2019,IN,"5,471",642,"3,783",613,"1,688","1,659",29,264,50,52,50,2,572,529,43,258,209,49
2017,NV,"7,833","4,578","7,281","4,560",552,534,18,121,381,10,2,8,832,492,340,"2,166",235,"1,931"
2018,MP,"1,044","1,022",357,335,687,0,687,0,0,0,0,0,0,0,0,2,2,0
2020,LA,"3,173","1,153","2,591","1,146",582,575,7,172,233,32,32,0,378,336,42,246,164,82
2020,OH,"10,655","1,844","7,636","1,810","3,019","2,985",34,433,267,53,53,0,730,698,32,736,573,163
2020,MO,"6,527","1,648","4,416","1,506","2,111","1,969",142,493,416,181,154,27,453,366,87,664,402,262
2017,AK,"1,845",294,"1,354",294,491,491,0,117,99,41,41,0,124,95,29,162,142,20
2019,WY,548,125,437,108,111,94,17,23,41,3,0,3,51,43,8,81,64,17
2019,ID,"2,315",985,"1,516",685,799,499,300,186,170,93,66,27,201,129,72,188,129,59
2020,AL,"3,351","1,299","2,497","1,204",854,759,95,251,232,20,20,0,329,231,98,175,103,72
2017,ME,"2,280",180,"1,352",108,928,856,72,189,0,12,12,0,131,120,11,178,143,35
2019,WA,"21,577","9,557","15,985","8,890","5,592","4,925",667,"1,797","2,649",438,276,162,"1,585",818,767,"1,911",824,"1,087"
2019,CA,"151,278","108,432","128,777","103,454","22,501","17,523","4,978","6,483","32,792","2,282","1,404",878,"10,980","3,261","7,719","11,993","2,528","9,465"
2019,MD,"6,561","1,348","4,652","1,215","1,909","1,776",133,617,547,131,99,32,490,411,79,290,179,111
2017,MS,"1,472",719,"1,100",648,372,301,71,13,48,11,11,0,57,39,18,59,40,19
2020,VA,"5,957",968,"3,959",940,"1,998","1,970",28,537,238,38,38,0,395,323,72,234,200,34
2019,NV,"7,169","3,807","6,614","3,757",555,505,50,516,163,36,36,0,674,509,165,"1,285",273,"1,012"
2019,NH,"1,396",149,812,145,584,580,4,126,62,30,30,0,113,106,7,84,62,22
2017,DC,"7,473",897,"3,583",897,"3,890","3,890",0,932,538,411,411,0,285,250,35,228,194,34
2019,PR,"2,535","1,900","2,341","1,830",194,124,70,111,561,14,2,12,90,18,72,49,13,36
2020,GA,"10,234","4,156","7,696","4,011","2,538","2,393",145,422,883,69,51,18,764,376,388,504,263,241
2018,MN,"7,243","1,121","3,993",974,"3,250","3,103",147,631,339,96,81,15,301,250,51,709,561,148
2018,OH,"10,249","1,315","6,929","1,196","3,320","3,201",119,395,305,30,30,0,749,694,55,686,593,93
2018,OK,"3,871","1,191","2,823",975,"1,048",832,216,257,547,104,73,31,313,206,107,313,226,87
2018,WY,639,199,434,135,205,141,64,42,0,4,0,4,47,47,0,82,68,14
2019,AZ,"10,007","4,532","7,538","4,439","2,469","2,376",93,599,"1,167",110,67,43,910,598,312,587,307,280
2017,MN,"7,668","1,108","3,899","1,007","3,769","3,668",101,472,341,93,80,13,281,244,37,889,739,150
2019,NJ,"8,862","1,482","5,895","1,457","2,967","2,942",25,624,687,108,102,6,551,485,66,496,436,60
2018,MO,"5,883","1,214","3,776","1,142","2,107","2,035",72,454,365,224,201,23,507,415,92,534,430,104
2017,VA,"6,067","1,008","4,028",979,"2,039","2,010",29,501,363,32,30,2,478,384,94,303,247,56
2018,IL,"10,643","1,942","6,752","1,876","3,891","3,825",66,778,692,155,143,12,804,574,230,684,609,75
2020,AZ,"10,979","5,521","8,280","5,278","2,699","2,456",243,514,"1,445",127,62,65,921,579,342,633,241,392
2019,OK,"3,944","1,237","3,063","1,106",881,750,131,302,580,72,34,38,280,203,77,322,234,88
2017,PR,"3,525","2,512","3,141","2,341",384,213,171,142,923,13,0,13,94,30,64,135,46,89
2017,VI,381,307,369,307,12,12,0,27,307,0,0,0,23,6,17,5,3,2
2017,MD,"7,247","1,736","5,077","1,568","2,170","2,002",168,746,690,84,70,14,536,440,96,272,179,93
2020,MA,"17,975","1,294","6,233","1,273","11,742","11,721",21,"1,104",355,583,583,0,836,807,29,481,402,79
2017,MI,"9,051","1,023","5,628",913,"3,423","3,313",110,482,227,65,56,9,773,713,60,608,539,69
2018,WV,"1,243",183,"1,021",179,222,218,4,84,66,4,0,4,131,106,25,61,52,9
2020,NV,"6,900","4,209","6,381","4,168",519,478,41,390,941,38,22,16,924,522,402,570,224,346
2019,SD,995,234,725,221,270,257,13,39,42,19,19,0,66,55,11,66,52,14
2018,WI,"4,907",382,"2,740",357,"2,167","2,142",25,368,78,81,81,0,332,321,11,246,215,31
2018,AR,"2,712","1,257","2,280","1,199",432,374,58,153,300,13,0,13,251,150,101,240,122,118
2018,TX,"25,310","10,534","19,199","10,282","6,111","5,859",252,"1,379","1,890",135,135,0,"1,935","1,142",793,"1,379",754,625
2017,MP,672,648,208,197,464,13,451,0,0,0,0,0,0,0,0,0,0,0
2020,OR,"14,655","8,877","11,995","7,472","2,660","1,255","1,405",939,"3,184",216,90,126,"1,329",654,675,"1,314",450,864
2018,GA,"9,499","3,599","6,943","3,386","2,556","2,343",213,238,754,88,86,2,705,429,276,494,297,197
2017,OH,"10,095","1,309","6,688","1,194","3,407","3,292",115,396,329,47,29,18,862,785,77,695,584,111
2018,KY,"3,688",868,"2,735",779,953,864,89,262,87,20,17,3,369,308,61,193,141,52
2019,MA,"18,471",829,"6,259",820,"12,212","12,203",9,"1,147",245,978,978,0,917,884,33,480,409,71
2019,GU,875,764,258,230,617,83,534,0,26,58,0,58,23,5,18,14,8,6
2020,AK,"1,949",224,"1,445",221,504,501,3,241,86,30,27,3,94,82,12,188,182,6
2017,FL,"32,190","15,079","22,768","11,837","9,422","6,180","3,242","1,127","3,824",664,114,550,"2,817","1,821",996,"2,019","1,075",944
2017,AR,"2,467","1,194","2,068","1,131",399,336,63,138,312,23,9,14,239,130,109,208,87,121
2017,WY,873,363,622,239,251,127,124,14,0,54,12,42,63,50,13,62,43,19
2017,KS,"2,287",345,"1,423",340,864,859,5,166,86,89,85,4,217,177,40,103,79,24
2018,TN,"7,883","2,855","6,139","2,286","1,744","1,175",569,559,997,107,50,57,742,556,186,485,278,207
2020,RI,"1,104",108,723,108,381,381,0,171,25,30,30,0,92,84,8,23,20,3
2019,KS,"2,381",475,"1,742",458,639,622,17,154,183,62,48,14,189,155,34,122,101,21
2018,MD,"7,144","1,764","4,914","1,532","2,230","1,998",232,608,651,150,112,38,574,470,104,267,175,92
2020,NH,"1,675",348,"1,023",320,652,624,28,178,174,94,87,7,116,101,15,65,45,20
2019,GA,"10,443","3,880","7,913","3,744","2,530","2,394",136,429,652,56,41,15,801,448,353,596,357,239
2020,KY,"4,011",928,"3,116",883,895,850,45,439,190,37,37,0,399,359,40,221,152,69
2020,MN,"7,940","1,949","4,726","1,705","3,214","2,970",244,746,758,283,226,57,315,268,47,746,500,246
2019,RI,"1,055",71,730,67,325,321,4,165,11,22,22,0,92,89,3,26,24,2
2017,WA,"21,112","8,591","14,781","8,048","6,331","5,788",543,"1,290","3,067",582,457,125,"2,093","1,094",999,"2,135",733,"1,402"
2017,LA,"3,305",975,"2,559",912,746,683,63,174,435,9,9,0,383,329,54,236,186,50
2020,NM,"3,333","1,259","2,555","1,190",778,709,69,644,652,238,213,25,252,114,138,215,125,90
2020,WV,"1,341",277,"1,156",277,185,185,0,94,63,17,17,0,104,88,16,112,92,20
2017,IA,"2,756",104,"1,500",104,"1,256","1,256",0,114,56,29,29,0,171,153,18,140,136,4
2019,DC,"6,521",608,"3,875",608,"2,646","2,646",0,"1,063",311,314,314,0,297,262,35,271,264,7
2017,AZ,"8,947","3,166","6,488","3,065","2,459","2,358",101,492,971,89,54,35,970,641,329,578,345,233
2019,MO,"6,179",976,"4,173",885,"2,006","1,915",91,598,314,150,146,4,488,393,95,477,422,55
2019,DE,921,95,565,76,356,337,19,86,33,49,45,4,65,61,4,42,39,3
2018,HI,"6,530","3,475","4,131","2,916","2,399","1,840",559,202,"1,327",185,56,129,532,240,292,189,50,139
2018,LA,"3,059","1,065","2,540","1,038",519,492,27,147,320,9,9,0,406,362,44,214,172,42
2020,DE,"1,165",150,737,136,428,414,14,167,48,52,44,8,78,71,7,43,33,10
2018,WA,"22,304","10,621","16,424","9,905","5,880","5,164",716,"1,619","4,156",383,218,165,"1,636",770,866,"2,184",763,"1,421"
2019,AK,"1,907",273,"1,384",266,523,516,7,134,97,38,36,2,111,85,26,176,155,21
2018,AK,"2,016",309,"1,434",261,582,534,48,243,80,34,32,2,132,110,22,163,150,13
2017,OR,"13,953","7,967","10,434","6,141","3,519","1,693","1,826",768,"2,352",267,100,167,"1,251",583,668,"1,462",507,955
2020,MT,"1,545",460,996,382,549,471,78,50,154,19,9,10,165,104,61,79,48,31
2020,VT,"1,110",114,738,107,372,365,7,132,33,20,17,3,71,67,4,99,85,14
2020,PR,"2,451","1,900","2,251","1,830",200,130,70,95,561,12,0,12,88,16,72,46,10,36
2019,WV,"1,397",248,"1,149",230,248,230,18,100,52,9,3,6,137,113,24,89,74,15
2018,MS,"1,352",621,"1,024",563,328,270,58,40,215,24,20,4,102,37,65,87,35,52
2020,KS,"2,449",482,"1,751",416,698,632,66,168,192,20,20,0,203,174,29,153,120,33
2018,PR,"3,182","2,512","2,921","2,341",261,90,171,151,923,17,4,13,82,18,64,104,15,89
2020,CT,"2,905",325,"1,973",323,932,930,2,121,50,6,6,0,199,187,12,148,120,28
2018,NC,"9,268","2,450","6,451","1,930","2,817","2,297",520,674,501,118,57,61,884,735,149,478,334,144
2019,VT,"1,089",114,681,112,408,406,2,132,31,27,25,2,87,78,9,105,94,11
2019,NY,"92,091","4,047","42,113","4,039","49,978","49,970",8,"4,367","1,598","1,264","1,264",0,"1,270","1,247",23,"2,978","2,785",193
2019,AR,"2,717","1,415","2,303","1,331",414,330,84,223,453,15,15,0,238,153,85,336,143,193
2018,NV,"7,544","4,239","7,058","4,185",486,432,54,264,373,11,11,0,723,530,193,"1,404",227,"1,177"
2018,NE,"2,421",144,"1,745",137,676,669,7,325,55,75,73,2,171,168,3,157,144,13
2018,CT,"3,976",581,"2,280",581,"1,696","1,696",0,195,103,43,43,0,190,177,13,187,118,69
2018,CA,"129,972","89,543","109,008","85,373","20,964","16,794","4,170","4,857","27,811","1,664",793,871,"10,836","3,622","7,214","12,396","2,476","9,920"
2017,SC,"3,916","1,501","2,896","1,229","1,020",748,272,226,566,32,10,22,480,321,159,173,108,65
2019,MI,"8,575",662,"5,212",596,"3,363","3,297",66,689,150,111,111,0,599,574,25,489,461,28
2020,MS,"1,107",526,853,522,254,250,4,35,104,7,7,0,68,37,31,51,31,20
2018,DC,"6,904",600,"3,770",600,"3,134","3,134",0,"1,286",300,195,195,0,306,246,60,318,284,34
2017,GU,852,765,215,198,637,70,567,0,20,44,0,44,24,4,20,1,0,1
2020,GU,790,682,276,247,514,79,435,0,35,49,0,49,21,6,15,15,6,9
2017,IN,"5,438",569,"3,623",541,"1,815","1,787",28,432,54,51,51,0,615,569,46,294,252,42
2020,HI,"6,458","3,650","4,568","3,223","1,890","1,463",427,342,"1,185",151,79,72,485,244,241,299,89,210
2018,GU,854,727,209,187,645,105,540,0,12,54,0,54,14,4,10,7,5,2
2019,NC,"9,314","2,268","6,867","1,978","2,447","2,157",290,647,526,98,89,9,907,763,144,417,317,100
2019,MS,"1,184",486,963,484,221,219,2,64,152,7,7,0,72,49,23,56,36,20
2019,MN,"7,977","1,653","4,586","1,449","3,391","3,187",204,859,585,301,254,47,297,234,63,685,548,137
2017,MA,"17,565",991,"6,267",979,"11,298","11,286",12,885,353,676,670,6,853,808,45,469,407,62
2019,MT,"1,357",345,947,291,410,356,54,106,88,34,27,7,205,136,69,82,57,25
2018,AZ,"9,865","4,066","7,259","3,905","2,606","2,445",161,564,"1,176",34,25,9,893,540,353,638,397,241
2018,MT,"1,405",373,983,301,422,350,72,97,86,17,15,2,198,125,73,119,92,27
2019,HI,"6,412","3,640","4,420","3,186","1,992","1,538",454,226,"1,366",175,78,97,505,210,295,222,73,149
2019,TN,"7,467","2,598","5,637","2,118","1,830","1,350",480,501,519,113,68,45,679,539,140,366,185,181
2017,NC,"8,962","2,451","6,044","1,915","2,918","2,382",536,359,635,81,37,44,931,732,199,434,320,114
2018,SC,"3,933","1,344","3,082","1,114",851,621,230,344,327,15,8,7,415,320,95,237,170,67
2019,TX,"25,848","11,222","19,611","10,948","6,237","5,963",274,"1,476","1,862",173,153,20,"1,806","1,225",581,"1,355",742,613
2020,AR,"2,366","1,273","2,073","1,203",293,223,70,105,381,28,23,5,188,107,81,262,88,174
2020,MI,"8,638","1,039","5,267",908,"3,371","3,240",131,676,271,162,147,15,639,594,45,484,433,51
2018,VT,"1,291",82,780,69,511,498,13,120,18,22,18,4,104,96,8,101,93,8
2020,SC,"4,287","1,704","3,432","1,457",855,608,247,362,457,45,37,8,428,317,111,202,133,69
2017,NH,"1,456",174,776,138,680,644,36,38,62,37,24,13,124,113,11,76,62,14
2020,OK,"3,932","1,244","3,162","1,158",770,684,86,425,658,45,27,18,325,202,123,290,191,99
2019,CT,"3,033",456,"2,100",452,933,929,4,129,73,12,12,0,195,182,13,196,124,72
2018,IN,"5,258",579,"3,776",571,"1,482","1,474",8,381,47,21,21,0,539,491,48,268,223,45
2020,NE,"2,404",143,"1,722",134,682,673,9,343,63,57,57,0,153,146,7,149,140,9
2017,SD,943,171,611,159,332,320,12,81,20,43,31,12,130,123,7,66,53,13
2017,ID,"2,037",639,"1,309",452,728,541,187,257,134,45,45,0,228,159,69,113,89,24
2019,IL,"10,199","1,889","6,513","1,794","3,686","3,591",95,"1,072",461,309,297,12,690,536,154,609,540,69
2017,WV,"1,309",188,"1,032",172,277,261,16,131,57,18,9,9,137,124,13,79,69,10
2020,CA,"161,548","113,660","135,771","107,525","25,777","19,642","6,135","8,036","40,776","2,973","1,554","1,419","11,401","3,405","7,996","12,172","2,662","9,510"
2017,CO,"10,940","3,859","7,571","2,852","3,369","2,362","1,007",914,"1,212",138,63,75,"1,078",743,335,763,428,335
2020,SD,"1,058",246,743,230,315,299,16,79,40,43,43,0,43,37,6,67,49,18
2017,UT,"2,852",278,"1,882",278,970,970,0,119,44,22,22,0,220,203,17,180,146,34
2018,ID,"2,012",723,"1,297",525,715,517,198,138,155,31,28,3,215,146,69,115,55,60
2018,ND,542,48,467,48,75,75,0,69,0,7,7,0,9,9,0,65,58,7
2017,VT,"1,225",134,697,97,528,491,37,82,29,16,12,4,94,89,5,94,83,11
2017,MO,"6,037","1,152","3,768",998,"2,269","2,115",154,525,358,204,198,6,538,449,89,548,455,93
2018,NJ,"9,398","1,623","6,048","1,578","3,350","3,305",45,464,748,74,74,0,555,470,85,518,439,79
2019,KY,"4,079",779,"3,073",721,"1,006",948,58,399,80,55,55,0,447,412,35,211,156,55
2017,GA,"10,174","3,523","7,422","3,320","2,752","2,549",203,405,558,65,57,8,712,466,246,526,328,198
2019,OR,"15,876","10,142","12,354","8,160","3,522","1,540","1,982",937,"3,672",293,99,194,"1,438",611,827,"1,590",438,"1,152"
2019,WI,"4,538",295,"2,545",282,"1,993","1,980",13,332,94,107,107,0,359,334,25,200,187,13
2018,NY,"91,897","4,294","39,827","4,265","52,070","52,041",29,"4,206","1,623","1,366","1,364",2,"1,224","1,184",40,"2,941","2,680",261
2017,TX,"23,548","8,493","16,708","7,994","6,840","6,341",499,"1,319","2,178",214,162,52,"2,200","1,379",821,"1,318",772,546
2019,OH,"10,345","1,507","7,041","1,389","3,304","3,186",118,496,311,67,44,23,676,610,66,643,508,135
2018,KS,"2,216",357,"1,443",346,773,762,11,169,109,22,22,0,195,167,28,133,113,20
2018,CO,"10,857","4,329","7,607","3,305","3,250","2,226","1,024","1,099","1,472",167,61,106,"1,073",657,416,593,274,319
2018,ME,"2,516",98,"1,450",91,"1,066","1,059",7,197,1,17,17,0,119,106,13,152,143,9
2018,SD,"1,159",285,836,238,323,276,47,67,48,75,67,8,110,89,21,61,42,19
2020,MD,"6,360","1,236","4,430","1,080","1,930","1,774",156,717,486,194,142,52,464,392,72,227,186,41
2020,FL,"27,487","12,672","20,344","11,462","7,143","5,933","1,210","1,455","3,195",532,362,170,"2,436","1,470",966,"1,331",803,528
2020,IL,"10,431","2,278","6,995","2,173","3,436","3,331",105,"1,032","1,026",247,227,20,736,504,232,671,527,144
2018,FL,"31,030","13,393","21,443","10,757","9,587","6,951","2,636","1,237","3,306",759,211,548,"2,543","1,582",961,"1,892","1,020",872
2017,OK,"4,199","1,115","2,824",832,"1,375","1,092",283,295,283,82,53,29,349,235,114,363,253,110
2017,HI,"7,220","3,800","4,535","3,277","2,685","2,162",523,164,"1,424",212,43,169,615,237,378,319,56,263
2019,NM,"3,241","1,259","2,464","1,190",777,708,69,631,652,172,147,25,257,119,138,216,126,90
2018,VI,486,307,415,307,71,71,0,0,307,0,0,0,24,7,17,4,2,2
2019,CO,"9,619","2,188","7,263","2,035","2,356","2,203",153,"1,211",895,81,58,23,"1,068",792,276,545,358,187
2020,ME,"2,097",141,"1,289",136,808,803,5,184,44,20,20,0,103,93,10,139,129,10
2018,RI,"1,101",51,747,49,354,352,2,216,17,31,31,0,103,100,3,39,38,1
2019,MP,"1,807","1,787",423,405,"1,384",2,"1,382",16,6,20,2,18,4,0,4,2,1,1
2018,VA,"5,975",915,"3,928",862,"2,047","1,994",53,537,275,85,85,0,485,400,85,286,237,49
2019,VI,314,232,314,232,0,0,0,0,105,0,0,0,13,0,13,6,0,6
2020,CO,"9,846","2,913","7,579","2,749","2,267","2,103",164,"1,247","1,587",120,101,19,"1,044",696,348,562,333,229
2019,ND,557,12,377,3,180,171,9,73,0,0,0,0,49,49,0,72,72,0
2017,RI,"1,180",69,802,69,378,378,0,215,25,0,0,0,95,92,3,49,41,8
2017,DE,994,58,615,52,379,373,6,98,25,4,4,0,91,85,6,45,43,2
2017,CT,"3,388",416,"2,208",412,"1,180","1,176",4,240,147,33,33,0,191,177,14,170,106,64
2017,WI,"5,027",340,"2,645",328,"2,382","2,370",12,275,67,92,92,0,329,309,20,276,240,36
2017,MT,"1,529",544,987,354,542,352,190,73,109,16,2,14,205,125,80,106,66,40
2017,IL,"10,798","2,257","6,894","2,135","3,904","3,782",122,644,711,120,73,47,864,575,289,730,592,138
2019,ME,"2,106",95,"1,232",92,874,871,3,178,33,15,15,0,116,108,8,125,112,13
2019,VA,"5,783",859,"3,666",828,"2,117","2,086",31,580,237,64,64,0,447,355,92,258,204,54
2020,WA,"22,923","10,814","16,198","8,930","6,725","4,841","1,884","2,077","3,866",813,207,606,"1,607",866,741,"1,777",805,972
2018,OR,"14,476","8,925","11,139","7,112","3,337","1,524","1,813",862,"3,151",308,98,210,"1,363",600,763,"1,309",490,819
2020,VI,304,232,304,232,0,0,0,0,105,0,0,0,13,0,13,6,0,6
2020,DC,"6,380",653,"3,949",653,"2,431","2,431",0,952,385,115,115,0,302,254,48,253,234,19
2017,ND,"1,089",331,832,182,257,108,149,25,12,8,0,8,74,58,16,80,66,14
2019,SC,"4,172","1,717","3,318","1,443",854,580,274,341,556,45,11,34,462,343,119,216,141,75
2020,ND,541,34,371,34,170,170,0,72,15,5,5,0,49,45,4,35,32,3
2020,UT,"3,131",704,"2,150",684,981,961,20,386,257,45,41,4,114,98,16,194,130,64
2017,CA,"131,532","88,896","110,260","85,238","21,272","17,614","3,658","4,430","31,111","1,492",805,687,"11,436","3,815","7,621","12,962","2,709","10,253"
2019,PA,"13,199","1,630","8,426","1,602","4,773","4,745",28,"1,136",639,88,88,0,857,820,37,737,585,152
2019,FL,"28,328","12,476","21,265","11,312","7,063","5,899","1,164","1,456","3,725",548,385,163,"2,472","1,576",896,"1,450",905,545
2020,ID,"2,315","1,043","1,320",561,995,513,482,102,167,95,38,57,178,112,66,90,51,39
2017,PA,"14,138","1,798","8,271","1,742","5,867","5,811",56,768,604,66,60,6,963,875,88,756,608,148
2018,MI,"8,351",899,"5,209",819,"3,142","3,062",80,583,173,105,94,11,693,646,47,604,534,70
2020,IN,"5,625",966,"4,117",936,"1,508","1,478",30,306,64,33,33,0,530,460,70,266,200,66
2018,NM,"2,551",796,"1,949",718,602,524,78,487,327,77,53,24,290,177,113,182,139,43
2018,AL,"3,434","1,010","2,570",877,864,731,133,277,195,68,64,4,339,267,72,158,113,45
2020,NJ,"9,662","1,781","6,413","1,721","3,249","3,189",60,705,898,140,121,19,595,511,84,514,439,75
2017,AL,"3,793","1,137","2,985","1,035",808,706,102,152,192,19,19,0,269,202,67,294,182,112
2020,PA,"13,375","1,857","8,585","1,764","4,790","4,697",93,"1,225",464,83,81,2,977,920,57,716,544,172
2018,PA,"13,512","1,744","8,163","1,714","5,349","5,319",30,785,533,90,86,4,982,910,72,684,541,143
2019,IA,"2,315",188,"1,574",181,741,734,7,239,62,39,39,0,149,137,12,146,130,16
2018,UT,"2,876",420,"1,904",418,972,970,2,211,87,8,8,0,239,222,17,191,157,34
2019,NE,"2,365",110,"1,715",107,650,647,3,381,41,32,32,0,175,164,11,151,138,13
2020,IA,"2,647",333,"1,852",329,795,791,4,257,78,33,33,0,154,136,18,141,114,27
2018,MA,"20,068",985,"6,811",983,"13,257","13,255",2,"1,054",319,749,749,0,985,934,51,465,373,92
2017,NY,"89,503","4,555","37,390","4,500","52,113","52,058",55,"3,110","1,977","1,491","1,488",3,"1,244","1,186",58,"2,829","2,535",294
2017,NM,"2,482",796,"1,865",718,617,539,78,385,327,102,78,24,248,135,113,181,138,43
2017,NJ,"8,536","1,414","5,433","1,395","3,103","3,084",19,542,413,114,110,4,583,494,89,492,432,60
2020,TX,"27,229","13,212","21,115","12,706","6,114","5,608",506,"1,157","2,705",171,85,86,"1,948","1,117",831,"1,408",786,622
2017,KY,"4,025",727,"3,032",646,993,912,81,252,131,22,15,7,489,445,44,253,194,59
2020,WY,612,123,427,117,185,179,6,24,57,0,0,0,51,45,6,91,79,12
2020,TN,"7,256","2,784","5,673","2,313","1,583","1,112",471,421,671,61,24,37,570,424,146,353,240,113
2020,NY,"91,271","4,557","43,283","4,551","47,988","47,982",6,"4,832","1,595","1,088","1,088",0,"1,251","1,214",37,"3,072","2,769",303
2017,NE,"2,501",120,"1,698",120,803,803,0,285,76,14,14,0,174,172,2,164,151,13
2018,IA,"2,749",241,"1,711",220,"1,038","1,017",21,151,64,55,55,0,196,177,19,209,187,22
2018,DE,"1,082",93,708,93,374,374,0,143,19,27,27,0,70,67,3,53,45,8
2017,TN,"8,309","2,765","6,137","2,254","2,172","1,661",511,482,813,189,89,100,757,615,142,457,276,181
